Uninsured,,,,,,,,
Under 65 years | All Races | Both Sexes | All Incomes,,,,,,,,
,,,Uninsured,,,,Demographic Group,
Year,ID,Name,Number,Margin of Error,%,% Margin of Error,Number,Margin of Error
2022,39000,Ohio,"667,791",18951,7.1,0.2,"9,410,124",0
2022,39001,"Adams County, OH","1,973",265,8.9,1.2,"22,217",0
2022,39003,"Allen County, OH","5,424",686,6.8,0.9,"79,576",0
2022,39005,"Ashland County, OH","3,140",416,7.7,1,"40,681",0
2022,39007,"Ashtabula County, OH","7,014",846,9.4,1.1,"74,952",0
2022,39009,"Athens County, OH","3,821",554,8.4,1.2,"45,449",0
2022,39011,"Auglaize County, OH","1,989",278,5.4,0.8,"36,905",0
2022,39013,"Belmont County, OH","3,499",443,7.3,0.9,"48,231",0
2022,39015,"Brown County, OH","2,647",358,7.5,1,"35,144",0
2022,39017,"Butler County, OH","20,921",2207,6.6,0.7,"319,316",0
2022,39019,"Carroll County, OH","1,777",241,8.6,1.2,"20,625",0
2022,39021,"Champaign County, OH","2,044",280,6.6,0.9,"31,162",0
2022,39023,"Clark County, OH","8,268",998,7.8,0.9,"106,389",0
2022,39025,"Clermont County, OH","10,750",1235,6.2,0.7,"172,083",0
2022,39027,"Clinton County, OH","1,972",273,5.9,0.8,"33,258",0
2022,39029,"Columbiana County, OH","6,927",841,9.1,1.1,"75,852",0
2022,39031,"Coshocton County, OH","2,872",366,9.9,1.3,"29,079",0
2022,39033,"Crawford County, OH","2,435",340,7.5,1,"32,397",0
2022,39035,"Cuyahoga County, OH","68,319",5027,7,0.5,"973,794",0
2022,39037,"Darke County, OH","3,023",380,7.4,0.9,"40,791",0
2022,39039,"Defiance County, OH","1,975",277,6.5,0.9,"30,266",0
2022,39041,"Delaware County, OH","7,781",937,4,0.5,"192,491",0
2022,39043,"Erie County, OH","3,625",486,6.4,0.9,"56,867",0
2022,39045,"Fairfield County, OH","8,177",940,6.1,0.7,"134,039",0
2022,39047,"Fayette County, OH","1,991",280,8.5,1.2,"23,377",0
2022,39049,"Franklin County, OH","91,985",5941,8.2,0.5,"1,120,170",0
2022,39051,"Fulton County, OH","2,110",291,6.2,0.9,"33,816",0
2022,39053,"Gallia County, OH","1,902",260,8.3,1.1,"22,840",0
2022,39055,"Geauga County, OH","6,820",788,9.2,1.1,"74,252",0
2022,39057,"Greene County, OH","7,003",863,5.3,0.7,"132,536",0
2022,39059,"Guernsey County, OH","2,509",336,8.3,1.1,"30,281",0
2022,39061,"Hamilton County, OH","41,310",3676,6.2,0.6,"668,066",0
2022,39063,"Hancock County, OH","3,870",563,6.5,0.9,"59,961",0
2022,39065,"Hardin County, OH","2,038",288,8.5,1.2,"23,844",0
2022,39067,"Harrison County, OH",972,133,8.8,1.2,"11,106",0
2022,39069,"Henry County, OH","1,320",191,6,0.9,"21,986",0
2022,39071,"Highland County, OH","3,012",389,8.6,1.1,"34,925",0
2022,39073,"Hocking County, OH","1,882",258,8.5,1.2,"22,247",0
2022,39075,"Holmes County, OH","13,088",1163,34.8,3.1,"37,587",0
2022,39077,"Huron County, OH","3,773",500,8,1.1,"47,341",0
2022,39079,"Jackson County, OH","2,259",318,8.5,1.2,"26,692",0
2022,39081,"Jefferson County, OH","3,099",410,6.5,0.9,"47,925",0
2022,39083,"Knox County, OH","4,177",562,8.7,1.2,"48,146",0
2022,39085,"Lake County, OH","11,284",1271,6.2,0.7,"180,557",0
2022,39087,"Lawrence County, OH","3,165",415,7,0.9,"45,407",0
2022,39089,"Licking County, OH","8,924",1061,6,0.7,"147,748",0
2022,39091,"Logan County, OH","2,366",311,6.4,0.8,"37,161",0
2022,39093,"Lorain County, OH","18,288",1935,7.3,0.8,"249,305",0
2022,39095,"Lucas County, OH","23,855",2353,6.9,0.7,"344,697",0
2022,39097,"Madison County, OH","2,319",317,7.1,1,"32,537",0
2022,39099,"Mahoning County, OH","10,858",1199,6.4,0.7,"170,271",0
2022,39101,"Marion County, OH","3,250",439,6.8,0.9,"47,779",0
2022,39103,"Medina County, OH","8,908",1047,6,0.7,"147,618",0
2022,39105,"Meigs County, OH","1,518",199,8.8,1.2,"17,291",0
2022,39107,"Mercer County, OH","2,249",303,6.6,0.9,"34,005",0
2022,39109,"Miami County, OH","5,216",671,5.9,0.8,"88,933",0
2022,39111,"Monroe County, OH",793,111,7.8,1.1,"10,121",0
2022,39113,"Montgomery County, OH","31,932",3003,7.5,0.7,"423,619",0
2022,39115,"Morgan County, OH",950,132,8.9,1.2,"10,728",0
2022,39117,"Morrow County, OH","2,177",287,7.6,1,"28,491",0
2022,39119,"Muskingum County, OH","4,717",607,6.8,0.9,"69,416",0
2022,39121,"Noble County, OH",730,106,8.7,1.3,"8,435",0
2022,39123,"Ottawa County, OH","1,923",251,6.6,0.9,"28,990",0
2022,39125,"Paulding County, OH","1,197",166,8,1.1,"14,992",0
2022,39127,"Perry County, OH","2,220",293,7.7,1,"28,989",0
2022,39129,"Pickaway County, OH","3,138",415,6.7,0.9,"46,824",0
2022,39131,"Pike County, OH","1,581",225,7.2,1,"21,985",0
2022,39133,"Portage County, OH","7,959",1026,6.3,0.8,"127,235",0
2022,39135,"Preble County, OH","1,955",264,6,0.8,"32,328",0
2022,39137,"Putnam County, OH","1,602",213,5.8,0.8,"27,827",0
2022,39139,"Richland County, OH","6,778",853,7.2,0.9,"93,680",0
2022,39141,"Ross County, OH","3,953",528,6.8,0.9,"58,493",0
2022,39143,"Sandusky County, OH","2,853",385,6.1,0.8,"46,647",0
2022,39145,"Scioto County, OH","4,192",549,7.4,1,"56,324",0
2022,39147,"Seneca County, OH","2,673",371,6.3,0.9,"42,304",0
2022,39149,"Shelby County, OH","2,716",365,6.9,0.9,"39,087",0
2022,39151,"Stark County, OH","18,934",1929,6.5,0.7,"293,294",0
2022,39153,"Summit County, OH","28,096",2660,6.6,0.6,"426,672",0
2022,39155,"Trumbull County, OH","13,193",1465,8.6,1,"153,267",0
2022,39157,"Tuscarawas County, OH","6,303",744,8.6,1,"73,042",0
2022,39159,"Union County, OH","2,368",330,4.2,0.6,"55,846",0
2022,39161,"Van Wert County, OH","1,369",192,6,0.8,"22,879",0
2022,39163,"Vinton County, OH",899,126,8.9,1.2,"10,125",0
2022,39165,"Warren County, OH","9,229",1073,4.4,0.5,"208,530",0
2022,39167,"Washington County, OH","3,376",455,7.5,1,"44,828",0
2022,39169,"Wayne County, OH","11,549",1223,12.6,1.3,"91,589",0
2022,39171,"Williams County, OH","1,925",273,6.8,1,"28,443",0
2022,39173,"Wood County, OH","5,804",752,5.5,0.7,"106,057",0
2022,39175,"Wyandot County, OH","1,014",152,5.9,0.9,"17,066",0